elem,name,state,sids,sids_code,sids_type,lat,lon,sdate,edate
mint,MIDWAY SAND ISLAND,INTL,914490,2,coop,28.21667,-177.35,1953-01-01,1991-09-30
mint,MIDWAY ISLAND HENDERSON FIELD AIRPORT,INTL,22701,1,wban,28.2,-177.38333,1949-01-01,2023-10-22
mint,MIDWAY ISLAND,INTL,22703,1,wban,28.21667,-177.38333,1950-06-05,1950-09-26
mint,MIDWAY ISLAND,INTL,516271,2,coop,28.2,-177.35,1938-05-01,1941-01-31
mint,ASI TANAGA ISLAND NS,AK,25709,1,wban,51.76111,-177.94444,1948-09-04,1949-03-16
mint,TANAGA ISLAND,AK,508995,2,coop,51.77861,-177.97166,1947-05-01,1949-02-28
mint,ADAK DAVIS AFB,AK,25701,1,wban,51.88333,-176.65,1949-01-01,1950-06-30
mint,ADAK AP,AK,25704,1,wban,51.88333,-176.65,1942-10-01,2023-10-22
mint,ATKA AP,AK,25715,1,wban,52.22028,-174.20612,1916-10-01,2023-10-22
mint,ATKA ISLAND,AK,25708,1,wban,52.21667,-174.2,1949-01-01,1949-11-18
mint,GAMBELL AP,AK,26703,1,wban,63.76667,-171.73277,1936-04-01,1988-11-16
mint,SAINT LAWRENCE ISLAND,AK,508104,2,coop,63.6667,-171.75,1893-03-01,1898-12-31
mint,JOHNSTON ISLAND,INTL,21603,1,wban,16.73333,-169.53333,1953-01-01,2003-12-31
mint,JOHNSTON ISLAND,INTL,21601,1,wban,16.73333,-169.53333,1949-01-01,1958-10-31
mint,JOHNSTON ISLAND NAS,INTL,21602,1,wban,16.73333,-169.53333,1945-04-01,1948-06-20
mint,JOHNSTON ISLAND AF FLT C,INTL,21604,1,wban,16.73333,-169.53333,1962-03-11,1962-11-06
mint,ST GEORGE ISLAND,AK,508100,2,coop,56.6,-169.53333,1954-12-13,1960-03-10
mint,SAINT PAUL ISLAND AIRPORT,AK,25713,1,wban,57.15505,-170.22272,1892-09-01,2023-10-23
mint,ST GEORGE ISLAND AIRPORT,AK,25628,1,wban,56.57484,-169.66264,1996-10-05,2023-10-23
mint,ST. PAUL 4 NE,AK,25711,1,wban,57.1575,-170.2119,2005-10-28,2023-10-24
mint,NORTHEAST CAPE,AK,26632,1,wban,63.31667,-168.96667,1954-01-01,1969-07-31
mint,SAVOONGA,AK,508239,2,coop,63.69361,-170.48083,1929-09-01,1989-09-30
mint,LITTLE DIOMEDE,AK,505517,2,coop,65.75,-168.93333,1938-01-01,1988-09-30
mint,FRENCH FRIGATE SHOALS AF,HI,22604,1,wban,23.86667,-166.28333,1962-09-18,1962-10-29
mint,FRENCH FRIGATE SHOALS,HI,914401,2,coop,23.86903,-166.28625,1953-01-01,1978-12-31
mint,FRENCH FRIGAT SHS NAS,HI,22603,1,wban,23.86903,-166.28625,1945-04-01,1948-04-30
mint,CHERNOFSKI HARBOR,AK,501601,2,coop,53.435,-167.33167,1925-01-01,1942-07-28
mint,UMNAK AP,AK,25621,1,wban,53.38334,-167.9,1944-07-01,1969-11-30
mint,DUTCH HARBOR,AK,25616,1,wban,53.895,-166.5433,1915-05-01,2023-10-23
mint,DUTCH HARBOR,AK,502586,2,coop,53.91666,-166.50359,1905-06-01,1920-09-30
mint,UNALASKA,AK,25614,1,wban,53.88333,-166.53333,1948-10-08,1950-12-31
mint,HOOPER BAY,AK,503705,2,coop,61.53333,-166.08333,1926-09-01,1939-02-28
mint,CAPE ROMANZOF AFS,AK,26633,1,wban,61.78333,-166.03333,1954-01-01,1970-12-16
mint,CAPE ROMANZOF,AK,501318,2,coop,61.76667,-166.05,1953-05-01,1985-02-24
mint,MEKORYUK,AK,26622,1,wban,60.38333,-166.2,1923-09-06,1987-08-28
mint,TELLER,AK,26626,1,wban,65.26083,-166.35944,1925-08-01,1963-03-31
mint,PORT CLARENCE,AK,26639,1,wban,65.25,-166.86667,1895-07-21,1995-08-31
mint,TIN CITY,AK,26634,1,wban,65.56306,-167.92139,1954-01-01,1984-11-24
mint,WALES,AK,26618,1,wban,65.62389,-168.09917,1925-10-10,1995-08-31
mint,SHISHMAREF AIRPORT,AK,26625,1,wban,66.24958,-166.08936,1919-10-01,1973-11-30
mint,KING ISLAND,AK,504762,2,coop,64.97038,-168.05319,1936-11-13,1941-08-18
mint,WALES AIRPORT,AK,00103,1,wban,65.617,-168.1,2017-08-14,2023-10-22
mint,TELLER AIRPORT,AK,00393,1,wban,65.233,-166.35,2017-05-21,2023-10-22
mint,BREVIG MISSION AIRPORT,AK,PFKT,5,icao,65.33334,-166.46666,2018-02-04,2023-10-14
mint,POINT HOPE AIRPORT,AK,26623,1,wban,68.35,-166.8,1924-02-01,1982-02-26
mint,CAPE LISBURNE AFS,AK,26631,1,wban,68.86667,-166.13333,1954-01-03,1970-11-30
mint,CAPE LISBURNE,AK,501312,2,coop,68.86667,-166.11667,1954-01-03,1984-11-30
mint,SCOTCH CAP LIGHT STATION,AK,25618,1,wban,54.41667,-164.75,1936-08-01,1942-02-20
mint,CAPE SARICHEF LIGHT STN,AK,25622,1,wban,54.9824,-164.9276,1952-03-24,1980-12-10
mint,AKUTAN,AK,500144,2,coop,54.13333,-165.76666,1986-01-01,1990-02-22
mint,FALSE PASS,AK,PAKF,5,icao,54.85,-163.41666,2021-01-28,2023-10-11
mint,TOKSOOK BAY AP,AK,26653,1,wban,60.54139,-165.08722,2019-12-17,2023-10-22
mint,QUIGILLINGOK,AK,507850,2,coop,60.6333,-163.5333,1931-04-07,1934-05-31
mint,BETHEL 87 WNW,AK,26656,1,wban,61.3465,-164.0769,2018-08-18,2023-10-24
mint,CHEVAK AIRPORT,AK,PAVA,5,icao,61.53333,-165.58333,2018-02-04,2023-03-24
mint,ST MARYS,AK,508105,2,coop,62.05278,-163.17111,1967-07-01,1983-10-31
mint,MOUNTAIN VILLAGE,AK,26621,1,wban,62.11667,-163.71667,1946-01-01,1963-10-31
mint,MOUNTAIN VILLAGE AP,AK,26635,1,wban,62.09528,-163.68195,2017-11-29,2023-10-22
mint,AKULURAK,AK,26610,1,wban,62.5,-164.41667,1916-08-09,1944-08-28
mint,EMMONAK,AK,26650,1,wban,62.78528,-164.4911,1977-09-02,1994-01-21
mint,NOME AIRPORT,AK,26617,1,wban,64.51112,-165.44002,1900-08-13,2023-10-23
mint,WHITE MOUNTAIN,AK,26630,1,wban,64.68333,-163.4,1922-01-04,2023-10-22
mint,ST MARYS AIRPORT,AK,508107,2,coop,62.06667,-163.3,1980-09-16,1991-06-30
mint,SAINT JOSEPHS MISSION,AK,508102,2,coop,62.25,-163.75,1893-09-05,1898-06-17
mint,SOLOMON,AK,508618,2,coop,64.5833,-164.4,1944-10-22,1946-03-31
mint,ROCKY POINT,AK,USS0063P01S,6,ghcn,64.53,-163.42,1999-09-30,2023-10-21
mint,JOHNSON'S CAMP,AK,USS0064P01S,6,ghcn,64.56,-164.29,2002-08-14,2023-10-21
mint,COUNCIL,AK,502217,2,coop,64.88333,-163.68333,1937-08-01,1942-07-31
mint,IGLOO,AK,503868,2,coop,65.15,-165.06667,1919-11-01,1928-12-31
mint,AMERICAN RIVER,AK,500258,2,coop,65.5,-165.75,1944-06-01,1945-08-24
mint,PILGRIM SPRING,AK,507281,2,coop,65.0833,-164.9667,1937-10-01,1941-07-26
mint,HOODOO HILL ALASKA,AK,USR0000AHOO,6,ghcn,65.5858,-163.4081,1992-06-16,2018-11-15
mint,QUARTZ CREEK ALASKA,AK,USR0000AQTZ,6,ghcn,65.4,-164.65,1988-05-18,2023-10-22
mint,DEVIL MOUNTAIN ALASKA,AK,USR0000ADEV,6,ghcn,66.2758,-164.5308,2005-12-31,2020-11-18
mint,KIVALINA,AK,504830,2,coop,67.73333,-164.53333,1973-11-01,1975-11-30
mint,CAPE THOMPSON,AK,26636,1,wban,68.1,-165.76666,1960-01-01,1963-04-30
mint,KIVALINA AIRPORT,AK,26642,1,wban,67.7306,-164.54788,1998-07-06,2023-10-23
mint,TAHINICHOK ALASKA,AK,USR0000ATAH,6,ghcn,67.5503,-163.5672,2011-09-30,2023-10-22
mint,PALMYRA,INTL,914701,2,coop,5.88333,-162.08333,1955-01-01,1957-04-30
mint,PALMYRA ISLAND LINE ISLANDS,INTL,20601,1,wban,5.88333,-162.08333,1949-10-01,1949-10-31
mint,PALMYRA ISLAND LINE ISLANDS,INTL,20604,1,wban,5.88333,-162.08333,1962-03-15,1962-10-29
mint,COLD BAY THORNBROUGH AFB,AK,25603,1,wban,55.2,-162.71667,1942-04-01,1954-06-30
mint,COLD BAY AIRPORT,AK,25624,1,wban,55.22068,-162.7323,1950-03-02,2023-10-23
mint,SAND POINT AP,AK,25617,1,wban,55.31944,-160.52083,1941-09-26,2023-10-22
mint,COAL HARBOR,AK,502041,2,coop,55.3866,-160.7775,1893-01-01,1911-07-31
mint,MINE HARBOR,AK,505885,2,coop,55.75,-160.6667,1902-08-01,1904-08-31
mint,PORT MOLLER,AK,507716,2,coop,55.9333,-160.5,1923-10-22,1925-03-31
mint,WOSNESSENSKI,AK,509915,2,coop,55.2167,-161.35,1940-03-01,1941-09-09
mint,SAND POINT 1 ENE,AK,25630,1,wban,55.3473,-160.466,2009-08-21,2023-10-24
mint,CAPE NEWENHAM AFS,AK,25623,1,wban,58.65,-162.06667,1953-09-01,1970-12-31
mint,PLATINUM,AK,25613,1,wban,59.01667,-161.78333,1939-10-08,1964-06-30
mint,CAPE NEWENHAM,AK,501314,2,coop,58.63333,-162.06667,1953-09-01,1984-11-28
mint,TOGIAK,AK,509300,2,coop,59.05,-160.38333,1980-12-05,1981-05-25
mint,BETHEL AIRPORT,AK,26615,1,wban,60.78497,-161.82932,1923-08-01,2023-10-23
mint,AKIAK,AK,500100,2,coop,60.91667,-161.21667,1917-10-02,1933-01-31
mint,RUSSIAN MISSION,AK,508054,2,coop,61.78333,-161.31667,1928-07-01,1987-10-29
mint,KALSKAG,AK,504163,2,coop,61.45,-160.8167,1932-12-13,1934-06-30
mint,OHAGAMUTE,AK,506762,2,coop,61.6333,-161.9,1936-03-23,1938-06-16
mint,REINDEER RIVER ALASKA,AK,USR0000AREI,6,ghcn,61.7161,-162.665,1993-08-04,2020-07-03
mint,NAPAKIAK,AK,PANA,5,icao,60.68333,-161.98334,2018-02-04,2023-10-22
mint,QUINHAGAK AIRPORT,AK,PAQH,5,icao,59.75,-161.83333,2017-12-23,2022-12-01
mint,KWETHLUK,AK,PFKW,5,icao,60.78333,-161.45,2018-02-04,2023-10-22
mint,NUNAPITCHUK,AK,PPIT,5,icao,60.9,-162.43333,2018-02-04,2022-09-13
mint,PILOT STN,AK,507314,2,coop,61.96667,-163.0,1919-08-16,1933-06-30
mint,ST MICHAEL,AK,508114,2,coop,63.48333,-162.01666,1899-10-01,1933-08-31
mint,UNALAKLEET FIELD,AK,26627,1,wban,63.88333,-160.8,1941-09-01,1998-10-30
mint,SHAKTOOLIK,AK,508389,2,coop,64.33222,-161.15111,1920-12-09,1934-04-30
mint,GOLOVIN AIRPORT,AK,26628,1,wban,64.55044,-163.00716,2019-12-11,2023-05-10
mint,GOLOVIN,AK,503378,2,coop,64.55,-163.0167,1941-07-01,1945-10-31
mint,STUYAHOK,AK,508785,2,coop,62.1667,-161.8333,1938-07-01,1940-05-25
mint,SHAKTOOLIK AIRPORT,AK,00111,1,wban,64.37,-161.224,2017-05-19,2023-10-22
mint,ELIM AIRPORT,AK,PFEL,5,icao,64.61667,-162.26666,2018-02-04,2023-10-22
mint,MOSES POINT,AK,26620,1,wban,64.7,-162.05,1943-03-01,1967-07-21
mint,CANDLE,AK,26619,1,wban,65.93333,-161.91667,1903-10-13,1950-10-26
mint,KOTZEBUE AIRPORT,AK,26616,1,wban,66.88569,-162.6068,1897-09-12,2023-10-23
mint,KOTZEBUE 25 N,AK,505051,2,coop,67.25,-162.8,1982-11-01,1995-05-31
mint,KOYUK,AK,505091,2,coop,64.93333,-161.15,1988-11-01,2017-12-20
mint,BUCKLAND,AK,501157,2,coop,65.97778,-161.11221,2006-05-28,2006-09-09
mint,DEERING,AK,502327,2,coop,66.06917,-162.76666,1917-07-01,1949-12-31
mint,DEERING AIRPORT,AK,26643,1,wban,66.06957,-162.76141,1998-07-23,2023-10-23
mint,NOORVIK,AK,506503,2,coop,66.8333,-161.0,1917-09-01,1927-06-30
